"origin","destination","in 1990","in 1995","in 2000","in 2005","in 2010","in 2015","in 2020","in 2024"
"New Zealand","Timor-Leste",139,151,165,175,179,72,70,69
"China","Viet Nam",5401,9260,13404,17541,21690,26302,31657,83887
"Japan","Viet Nam",1742,2988,4324,5658,6997,8485,10212,27060
"Korea, Rep.","Viet Nam",3136,5377,7783,10185,12594,15272,18382,48707
"Cambodia","Viet Nam",22106,19700,15473,2359,2143,0,0,990
"Kazakhstan","Armenia",1622,1479,1339,1192,1055,919,781,710
"Turkmenistan","Armenia",1707,1550,1398,1238,1089,941,791,723
"Uzbekistan","Armenia",2621,2296,1983,1644,1344,1043,748,789
"Iran, Islamic Rep.","Armenia",22245,19417,16665,13705,11117,8510,6065,6793
"Azerbaijan","Armenia",164457,391797,409268,324771,79815,58387,84050,187421
"Georgia","Armenia",86690,80216,68952,59681,51242,42753,34247,30983
"Iraq","Armenia",0,0,0,236,890,1004,1086,1346
"Lebanon","Armenia",2750,2350,1964,1539,1191,829,489,694
"Syrian Arab Republic","Armenia",7557,6552,5580,4525,3605,18490,16528,6993
"Turkiye","Armenia",6238,4823,3519,1844,762,12,36,52
"Russian Federation","Armenia",33900,31776,29609,27415,25321,23227,21099,19330
"Ukraine","Armenia",5553,4986,4432,3846,3311,2864,2354,2668
"Greece","Armenia",4856,3983,3153,2198,1450,629,12,10
"Germany","Armenia",1405,1265,1128,984,851,718,585,530
"Kazakhstan","Azerbaijan",5528,4979,4443,3906,3347,2787,2310,1994
"Kyrgyz Republic","Azerbaijan",4068,3634,3213,2790,2347,1902,1534,1321
"Tajikistan","Azerbaijan",389,349,310,276,230,188,153,138
"Turkmenistan","Azerbaijan",3033,2659,2299,1944,1557,1167,868,747
"Uzbekistan","Azerbaijan",28421,54181,38615,18840,15505,12151,9458,8122
"Afghanistan","Azerbaijan",11,4,573,720,631,1008,1236,1419
"Iran, Islamic Rep.","Azerbaijan",2734,2391,2098,1916,1484,1105,790,710
"Armenia","Azerbaijan",167779,362053,343340,148545,142094,135614,129242,116637
"Georgia","Azerbaijan",97328,84200,71567,58882,45133,31424,21435,18215
"Turkiye","Azerbaijan",2528,2400,2279,2148,2020,1892,1769,1602
"Belarus","Azerbaijan",751,668,587,504,419,333,263,227
"Moldova","Azerbaijan",518,452,387,322,252,183,130,111
"Romania","Azerbaijan",260,231,204,181,160,142,126,114
"Russian Federation","Azerbaijan",38232,35581,35194,35504,28269,24828,22068,19714
"Ukraine","Azerbaijan",4596,4086,3591,3096,2575,2065,1630,8108
"Estonia","Azerbaijan",1287,1056,843,623,322,77,12,10
"Germany","Azerbaijan",397,364,332,300,267,234,204,183
"Netherlands","Azerbaijan",303,269,238,211,187,165,146,131
"Australia","Azerbaijan",210,186,164,146,129,114,101,91
"Eritrea","Bahrain",519,579,609,888,1397,1567,1706,1824
"Ethiopia","Bahrain",365,407,429,542,797,894,973,1040
"Somalia, Fed. Rep.","Bahrain",347,388,409,491,701,787,856,916
"South Sudan","Bahrain",533,608,651,795,1148,1288,1403,1500
"Chad","Bahrain",143,160,169,246,387,433,472,504
"Egypt, Arab Rep.","Bahrain",22384,24527,25371,40085,65008,72947,79462,84943
"Morocco","Bahrain",263,293,307,421,646,724,788,843
"Sudan","Bahrain",4327,4941,5289,6590,9605,10778,11740,12550
"Tunisia","Bahrain",158,176,186,270,425,476,519,555
"Nigeria","Bahrain",191,213,224,605,1138,1276,1390,1485
"Afghanistan","Bahrain",220,245,258,376,591,663,722,772
"Bangladesh","Bahrain",20886,25567,28836,47871,79044,88697,96618,103283
"India","Bahrain",61818,77438,88742,150694,250789,281418,306551,327698
"Nepal","Bahrain",233,260,273,1023,2021,2268,2470,2641
"Pakistan","Bahrain",21404,26242,29629,45023,71918,80701,87909,93973
"Sri Lanka","Bahrain",5990,5314,4383,5793,8702,9764,10636,11369
"Indonesia","Bahrain",6285,7931,9135,14255,23008,25817,28122,30062
"Philippines","Bahrain",8106,10594,12485,23669,40796,45779,49867,53307
"Thailand","Bahrain",300,335,352,567,926,1039,1131,1209
"Jordan","Bahrain",3517,4172,4601,7456,12207,13697,14920,15949
"Kuwait","Bahrain",1766,1986,2101,3092,4877,5472,5960,6371
"Lebanon","Bahrain",744,830,873,1734,3032,3402,3705,3961
"Qatar","Bahrain",8,13,19,95,194,217,236,252
"Saudi Arabia","Bahrain",62,112,156,279,475,532,579,619
"Syrian Arab Republic","Bahrain",1816,2029,2135,2631,3815,4280,4663,4984
"Turkiye","Bahrain",1319,1474,1550,1903,2753,3089,3364,3597
"United Arab Emirates","Bahrain",788,1411,1948,3290,5464,6131,6679,7139
"Yemen, Rep.","Bahrain",6004,6710,7059,9700,14841,16653,18140,19392
"United Kingdom","Bahrain",1649,1550,1375,1537,2104,2361,2571,2748
"France","Bahrain",58,122,180,665,1313,1473,1605,1715
"Netherlands","Bahrain",178,162,140,162,228,255,277,296
"United States","Bahrain",463,517,544,740,1128,1265,1378,1473
"Burundi","Cyprus",1,2,2,3,3,2,1,1
"Djibouti","Cyprus",1,2,2,3,3,2,1,1
"Eritrea","Cyprus",1,2,2,3,3,2,1,1
"Ethiopia","Cyprus",20,29,37,55,85,77,78,83
"Kenya","Cyprus",21,30,38,57,88,80,81,86
"Madagascar","Cyprus",2,3,4,6,8,7,6,6
"Malawi","Cyprus",2,3,4,6,8,7,6,6
"Mauritius","Cyprus",3,4,5,7,10,9,8,8
"Mozambique","Cyprus",3,4,5,7,10,9,8,8
"Seychelles","Cyprus",2,3,4,6,8,7,6,6
"Somalia, Fed. Rep.","Cyprus",3,4,5,7,10,9,8,8
"Uganda","Cyprus",5,7,9,13,20,18,18,19
"Tanzania","Cyprus",36,51,66,99,152,138,142,151
"Zambia","Cyprus",34,48,62,94,144,131,135,143
"Zimbabwe","Cyprus",76,108,139,208,320,292,299,317
"Cameroon","Cyprus",14,20,26,39,59,54,1885,2001
"Central African Republic","Cyprus",4,6,7,10,15,13,13,14
"Congo, Dem. Rep.","Cyprus",170,241,311,468,717,657,678,720
"Algeria","Cyprus",9,13,16,25,38,34,34,36
"Egypt, Arab Rep.","Cyprus",1290,1824,2358,3545,5441,4995,5156,5473
"Libya","Cyprus",57,81,104,156,239,219,224,238
"Morocco","Cyprus",16,23,29,44,65,59,60,64
"Sudan","Cyprus",129,183,236,355,544,499,514,546
"Tunisia","Cyprus",9,13,16,25,38,34,34,36
"Botswana","Cyprus",2,3,4,6,8,7,6,6
"Namibia","Cyprus",1,2,2,3,3,2,1,1
"South Africa","Cyprus",1235,1747,2258,3395,5210,4784,4937,5240
"Benin","Cyprus",2,3,4,6,8,7,6,6
"Ghana","Cyprus",21,30,38,57,88,80,81,86
"Niger","Cyprus",2,3,4,6,8,7,6,6
"Nigeria","Cyprus",76,108,139,208,320,292,299,317
"Senegal","Cyprus",2,3,4,6,8,7,6,6
"Sierra Leone","Cyprus",1,2,2,3,3,2,1,1
"Kazakhstan","Cyprus",59,84,108,162,248,227,232,246
"Kyrgyz Republic","Cyprus",6,9,11,16,25,22,22,23
"Tajikistan","Cyprus",2,3,4,6,8,7,6,6
"Turkmenistan","Cyprus",3,4,5,7,10,9,8,8
"Uzbekistan","Cyprus",18,26,33,50,77,69,70,74
"China","Cyprus",398,563,728,1094,1679,1541,1591,1689
"Korea, Dem. People's Rep.","Cyprus",8,12,15,23,35,31,31,33
"Japan","Cyprus",21,30,38,57,88,80,81,86
"Korea, Rep.","Cyprus",2,3,4,6,8,7,6,6
"Afghanistan","Cyprus",2,3,4,6,8,7,6,6
"Bangladesh","Cyprus",162,229,296,1569,683,626,1526,1620
"India","Cyprus",684,967,1250,1880,2885,2648,2732,2900
"Iran, Islamic Rep.","Cyprus",299,423,547,1128,1262,1158,1194,1267
"Nepal","Cyprus",14,20,26,39,59,54,54,57
"Pakistan","Cyprus",129,183,236,1409,544,499,1374,1458
"Sri Lanka","Cyprus",2457,3474,4491,6752,10361,9514,9821,10425
"Brunei Darussalam","Cyprus",1,2,2,3,3,2,1,1
"Indonesia","Cyprus",43,61,79,118,181,165,169,179
"Lao PDR","Cyprus",1,2,2,3,3,2,1,1
"Malaysia","Cyprus",11,16,20,31,48,43,44,47
"Myanmar","Cyprus",11,16,20,31,48,43,44,47
"Philippines","Cyprus",1793,2535,3277,4927,7560,6941,7165,7606
"Singapore","Cyprus",8,12,15,23,35,31,31,33
"Thailand","Cyprus",65,92,119,179,273,250,256,272
"Viet Nam","Cyprus",16,23,29,44,65,59,60,64
"Armenia","Cyprus",292,413,534,803,1232,1130,1166,1238
"Azerbaijan","Cyprus",9,13,16,25,38,34,34,36
"Bahrain","Cyprus",27,38,49,74,112,103,104,110
"Georgia","Cyprus",3802,5376,6950,10451,16037,14727,15201,16136
"Iraq","Cyprus",78,111,143,215,1059,1234,1274,1352
"Israel","Cyprus",95,135,174,262,401,368,379,402
"Jordan","Cyprus",110,156,201,302,463,425,437,464
"Kuwait","Cyprus",58,82,106,159,244,223,229,243
"Lebanon","Cyprus",685,969,1252,1882,2888,2651,2736,2904
"Oman","Cyprus",16,23,29,44,65,59,60,64
"Qatar","Cyprus",3,4,5,7,10,9,8,8
"Saudi Arabia","Cyprus",58,82,106,159,244,223,229,243
"Syrian Arab Republic","Cyprus",810,1146,1481,2228,3418,6949,11446,12150
"Turkiye","Cyprus",152,215,278,418,641,587,605,642
"United Arab Emirates","Cyprus",38,54,69,103,159,145,149,158
"Yemen, Rep.","Cyprus",4,6,7,10,15,13,13,14
"Belarus","Cyprus",84,119,154,232,356,326,336,357
"Bulgaria","Cyprus",1531,2165,2799,4209,6459,5930,6121,6498
"Czechia","Cyprus",168,238,307,461,707,649,669,710
"Hungary","Cyprus",86,122,157,237,362,332,342,363
"Poland","Cyprus",176,249,322,484,742,680,701,744
"Moldova","Cyprus",234,331,428,643,986,905,933,990
"Romania","Cyprus",1345,1902,2459,3697,5673,5209,5377,5707
"Russian Federation","Cyprus",3235,4574,5913,8891,13644,12530,12935,13731
"Slovak Republic","Cyprus",34,48,62,94,144,131,135,143
"Ukraine","Cyprus",815,1153,1490,2240,3437,3156,3257,3457
"Denmark","Cyprus",42,60,77,115,176,161,164,174
"Estonia","Cyprus",7,10,13,19,30,26,26,28
"Finland","Cyprus",123,174,225,338,518,474,489,519
"Iceland","Cyprus",8,12,15,23,35,31,31,33
"Ireland","Cyprus",193,273,353,532,815,747,770,817
"Latvia","Cyprus",41,58,75,112,171,157,161,171
"Lithuania","Cyprus",23,33,42,64,98,89,91,97
"Norway","Cyprus",50,71,91,137,209,191,196,208
"Sweden","Cyprus",227,321,415,624,957,878,905,961
"United Kingdom","Cyprus",9055,12804,16552,24892,38224,34762,35876,38082
"Albania","Cyprus",69,98,126,190,291,266,274,291
"Bosnia and Herzegovina","Cyprus",17,24,31,47,70,64,65,69
"Croatia","Cyprus",21,30,38,57,88,80,81,86
"Gibraltar","Cyprus",1,2,2,3,3,2,1,1
"Greece","Cyprus",5898,8340,10781,16211,24875,22844,23581,25031
"Italy","Cyprus",120,170,219,330,505,463,477,506
"Malta","Cyprus",8,12,15,23,35,31,31,33
"North Macedonia","Cyprus",5,7,9,13,20,18,18,19
"Portugal","Cyprus",16,23,29,44,65,59,60,64
"Serbia","Cyprus",630,891,1152,1732,2657,2439,2518,2673
"Slovenia","Cyprus",4,6,7,10,15,13,13,14
"Spain","Cyprus",39,55,71,107,163,149,153,162
"Austria","Cyprus",88,125,161,243,372,340,349,370
"Belgium","Cyprus",65,92,119,179,273,250,256,272
"France","Cyprus",228,323,417,627,961,881,908,964
"Germany","Cyprus",646,914,1181,1776,2725,2501,2582,2741
"Luxembourg","Cyprus",3,4,5,7,10,9,8,8
"Netherlands","Cyprus",120,170,219,330,505,463,477,506
"Switzerland","Cyprus",94,133,172,258,395,362,373,396
"Cuba","Cyprus",9,13,16,25,38,34,34,36
"Dominican Republic","Cyprus",3,4,5,7,10,9,8,8
"Haiti","Cyprus",1,2,2,3,3,2,1,1
"Jamaica","Cyprus",4,6,7,10,15,13,13,14
"Puerto Rico (US)","Cyprus",1,2,2,3,3,2,1,1
"Trinidad and Tobago","Cyprus",4,6,7,10,15,13,13,14
"Costa Rica","Cyprus",1,2,2,3,3,2,1,1
"El Salvador","Cyprus",3,4,5,7,10,9,8,8
"Honduras","Cyprus",1,2,2,3,3,2,1,1
"Mexico","Cyprus",16,23,29,44,65,59,60,64
"Nicaragua","Cyprus",3,4,5,7,10,9,8,8
"Panama","Cyprus",5,7,9,13,20,18,18,19
"Argentina","Cyprus",21,30,38,57,88,80,81,86
"Bolivia","Cyprus",3,4,5,7,10,9,8,8
"Brazil","Cyprus",15,21,27,40,60,55,55,58
"Chile","Cyprus",12,17,22,33,50,45,46,49
"Colombia","Cyprus",31,44,57,87,132,120,123,131
"Ecuador","Cyprus",2,3,4,6,8,7,6,6
"Paraguay","Cyprus",2,3,4,6,8,7,6,6
"Peru","Cyprus",8,12,15,23,35,31,31,33
"Suriname","Cyprus",1,2,2,3,3,2,1,1
"Uruguay","Cyprus",1,2,2,3,3,2,1,1
"Venezuela, RB","Cyprus",16,23,29,44,65,59,60,64
"Canada","Cyprus",374,529,684,1029,1578,1449,1494,1586
"United States","Cyprus",791,1119,1446,2174,3335,3063,3161,3355
"Australia","Cyprus",741,1048,1355,2037,3126,2870,2961,3143
"New Zealand","Cyprus",23,33,42,64,98,89,91,97
"Fiji","Cyprus",1,2,2,3,3,2,1,1
"Algeria","Georgia",0,0,18,17,17,17,16,16
"Kazakhstan","Georgia",21017,3302,1651,1568,1583,1662,1718,1766
"Kyrgyz Republic","Georgia",3360,484,242,229,231,242,249,256
"Tajikistan","Georgia",3306,2690,145,137,138,144,148,152
"Turkmenistan","Georgia",1609,1335,197,187,188,197,203,209
"Uzbekistan","Georgia",10078,9342,736,699,705,740,765,786
"China","Georgia",421,337,74,70,70,73,74,76
"Mongolia","Georgia",0,0,29,27,27,28,27,28
"Afghanistan","Georgia",0,0,42,39,39,40,40,41
"India","Georgia",0,0,32,30,30,31,30,31
"Iran, Islamic Rep.","Georgia",0,0,120,113,114,119,121,124
"Nepal","Georgia",0,0,18,17,17,17,16,16
"Pakistan","Georgia",0,0,86,81,81,85,86,88
"Armenia","Georgia",4039,3297,12268,11654,11770,12358,12789,13147
"Azerbaijan","Georgia",7911,6433,5780,5490,5544,5821,6023,6191
"Israel","Georgia",0,0,32,30,30,31,30,31
"Lebanon","Georgia",0,0,10,9,9,9,8,8
"Turkiye","Georgia",455,513,455,432,436,457,472,485
"Belarus","Georgia",16521,2118,1059,1006,1016,1066,1101,1132
"Bulgaria","Georgia",0,0,225,213,215,225,231,237
"Czechia","Georgia",0,0,34,32,32,33,33,34
"Hungary","Georgia",0,0,49,46,46,48,48,49
"Poland","Georgia",3794,350,175,166,167,175,180,185
"Moldova","Georgia",4413,3659,466,442,446,468,483,496
"Romania","Georgia",390,396,213,202,204,214,220,226
"Russian Federation","Georgia",151090,89180,35672,32888,34226,35936,37267,38308
"Ukraine","Georgia",46581,23412,11706,11120,11231,11792,12203,12544
"Estonia","Georgia",846,720,120,113,114,119,121,124
"Finland","Georgia",0,0,12,11,11,11,10,10
"Latvia","Georgia",1382,398,199,189,190,199,205,211
"Lithuania","Georgia",3623,410,205,194,195,204,210,216
"United Kingdom","Georgia",0,0,34,32,32,33,33,34
"Albania","Georgia",0,0,11,10,10,10,9,9
"Greece","Georgia",0,0,159,151,152,159,163,168
"Italy","Georgia",0,0,18,17,17,17,16,16
"Spain","Georgia",0,0,20,18,18,18,17,17
"Austria","Georgia",0,0,26,24,24,25,24,25
"Belgium","Georgia",0,0,23,21,21,22,21,22
"France","Georgia",0,0,41,38,38,39,39,40
"Germany","Georgia",8348,1214,607,576,581,610,629,647
"Netherlands","Georgia",0,0,12,11,11,11,10,10
"Switzerland","Georgia",0,0,15,14,14,14,13,13
"Cuba","Georgia",0,0,13,12,12,12,11,11
"Argentina","Georgia",0,0,16,15,15,15,14,14
"Peru","Georgia",0,0,22,20,20,20,19,20
"United States","Georgia",0,0,107,101,102,107,109,112
"Eritrea","Iraq",359,732,694,808,826,806,812,824
"Somalia, Fed. Rep.","Iraq",204,377,357,415,424,414,417,423
"South Sudan","Iraq",360,268,254,296,302,295,297,301
"Egypt, Arab Rep.","Iraq",11075,13058,12375,14394,14702,14363,14498,14705
"Morocco","Iraq",451,532,504,587,600,586,591,599
"Sudan","Iraq",2924,3447,3267,3800,3882,3792,3826,3881
"Tunisia","Iraq",241,284,269,313,320,312,314,318
"Mauritania","Iraq",154,182,172,200,205,200,201,204
"Afghanistan","Iraq",241,284,269,313,320,312,314,318
"India","Iraq",179,211,200,233,238,232,234,237
"Iran, Islamic Rep.","Iraq",14976,44953,42602,17651,18029,14405,14540,14747
"Pakistan","Iraq",525,619,587,683,698,682,688,698
"Jordan","Iraq",7970,9397,8905,10358,10580,10336,10432,10581
"Kuwait","Iraq",309,364,345,401,410,400,403,409
"Lebanon","Iraq",1173,1383,1311,1526,1558,1522,1536,1558
"Saudi Arabia","Iraq",519,612,580,675,690,674,680,690
"Syrian Arab Republic","Iraq",4778,5633,5338,6209,6342,252036,254441,258068
"Turkiye","Iraq",938,17439,13885,17586,17961,17514,20677,20972
"United Arab Emirates","Iraq",222,262,248,289,295,288,289,293
"Yemen, Rep.","Iraq",1543,1819,1724,2005,2049,2001,2020,2049
"Russian Federation","Iraq",210,248,235,273,280,273,274,278
"Eritrea","Israel",0,0,30,66,14425,30240,17896,7896
"Ethiopia","Israel",35323,44018,55262,67519,81526,87563,95201,101417
"Kenya","Israel",0,0,0,0,22,0,107,239
"South Sudan","Israel",0,0,0,0,0,117,205,122
"Uganda","Israel",0,0,0,0,0,0,161,329
"Congo, Dem. Rep.","Israel",0,0,0,106,84,208,312,241
"Algeria","Israel",42951,46879,46470,44985,43711,46899,50552,53589
"Egypt, Arab Rep.","Israel",22985,24052,22931,21359,19994,21383,23060,24428
"Libya","Israel",20157,21149,19679,17825,16205,17323,18672,19768
"Morocco","Israel",162713,173282,169462,162027,155632,166846,179842,190607
"Sudan","Israel",0,0,5,58,6819,5618,6683,4918
"Tunisia","Israel",35765,43896,46383,47551,48740,49959,51208,52231
"South Africa","Israel",7554,9306,10159,10810,11505,12381,13837,14535
"Cote d'Ivoire","Israel",0,0,0,261,751,5,15,40
"Ghana","Israel",0,0,6,18,368,0,512,419
"Liberia","Israel",26234,31357,34091,35057,35907,36756,37675,38437
"Nigeria","Israel",0,0,0,63,1030,5,1002,765
"Kazakhstan","Israel",5435,6791,8814,11140,13757,14905,16266,17166
"Kyrgyz Republic","Israel",1793,2142,2328,2389,2449,2510,2657,2664
"Tajikistan","Israel",4152,4924,3517,2368,1468,1549,1675,1761
"Turkmenistan","Israel",414,528,932,1551,2379,2598,2806,2996
"Uzbekistan","Israel",28344,34138,29476,24460,20175,21497,23687,24744
"China","Israel",912,1119,1183,1212,1243,1274,1561,1513
"Afghanistan","Israel",2459,2982,2832,2600,2398,2564,2764,2927
"India","Israel",16824,18621,18763,18465,18245,19585,22343,23441
"Iran, Islamic Rep.","Israel",47744,52577,52536,51258,50183,53878,58077,61572
"Sri Lanka","Israel",0,0,0,5,11,0,1082,879
"Myanmar","Israel",0,0,0,39,0,0,25,238
"Azerbaijan","Israel",13273,16091,15199,13879,12728,13609,14733,15580
"Georgia","Israel",24115,28456,19271,12222,7054,7174,8952,8167
"Iraq","Israel",78683,82203,76716,69744,63652,68059,73361,77676
"Lebanon","Israel",9808,4742,8843,5535,6175,6665,7184,7638
"Syrian Arab Republic","Israel",11925,12124,11095,9886,8839,9443,10179,10778
"Turkiye","Israel",33135,34679,32110,28990,26387,27954,30532,32098
"Yemen, Rep.","Israel",32799,39687,36451,32312,28707,30665,33053,34979
"Belarus","Israel",30126,36259,31019,25486,20776,22129,24755,26340
"Bulgaria","Israel",21932,21489,19527,17366,15484,16541,17835,18875
"Czechia","Israel",17538,18246,17256,15783,14430,15428,16629,17662
"Hungary","Israel",17565,17345,15387,13305,11501,12274,13230,13993
"Poland","Israel",112778,106000,85893,67432,51986,55264,59569,62789
"Moldova","Israel",26533,31368,21677,14063,8204,8619,9870,10053
"Romania","Israel",138204,142141,127017,110169,95551,101985,109973,116289
"Russian Federation","Israel",173372,191651,160830,128720,101590,108084,121455,126688
"Ukraine","Israel",152501,184246,165697,143632,124513,132896,146707,151855
"Denmark","Israel",908,1130,1378,1638,1922,2078,2240,2383
"Finland","Israel",470,577,610,625,641,657,673,687
"Latvia","Israel",8780,10408,7410,4972,3064,3231,3488,3668
"Lithuania","Israel",12741,14913,9298,5356,2454,2561,2761,2896
"Sweden","Israel",1047,1284,1357,1391,1426,1461,1498,1528
"United Kingdom","Israel",13224,16327,18222,19837,21530,23213,25021,26577
"Greece","Israel",15437,10658,6693,4002,1076,1102,1187,1239
"Italy","Israel",4134,5057,5136,5073,5027,5401,5822,6174
"Spain","Israel",2864,3433,2789,2166,1647,1750,1887,1993
"Austria","Israel",13560,7516,6265,5402,4662,4976,5363,5672
"Belgium","Israel",3214,3983,4644,5282,5961,6437,6938,7375
"France","Israel",29716,35505,38595,39613,40603,41619,42659,43511
"Germany","Israel",29626,29525,27193,24500,22151,23675,25519,27015
"Netherlands","Israel",3876,4750,4894,4909,4937,5309,5722,6070
"Switzerland","Israel",2354,2906,3232,3505,3791,4087,4406,4679
"Mexico","Israel",1243,1545,1879,2227,2607,2819,3047,3237
"Argentina","Israel",22506,27834,31692,35204,38908,41979,45255,48082
"Brazil","Israel",5176,6398,7248,8010,8812,9506,10254,10891
"Chile","Israel",2324,2857,3050,3172,3306,3554,3831,4070
"Colombia","Israel",994,1246,1679,2238,3026,3036,3562,3652
"Peru","Israel",539,686,1114,1731,2520,2746,2978,3175
"Uruguay","Israel",3812,4709,5281,5776,6296,6790,7318,7774
"Venezuela, RB","Israel",553,691,897,1131,1418,1537,1662,1769
"Canada","Israel",4190,5198,6144,7086,8095,8745,9426,10021
"United States","Israel",41745,51752,60641,69328,78596,84882,91494,97258
"Australia","Israel",1852,2291,2616,2913,3226,3480,3752,3987
"Egypt, Arab Rep.","Jordan",129780,123678,117577,147608,381955,616302,706516,767948
"Libya","Jordan",3,373,743,2512,12193,21875,25975,28839
"Bangladesh","Jordan",0,1390,4703,8316,13627,18937,23051,26252
"Philippines","Jordan",1123,2194,3264,5090,11190,17290,20375,22618
"Iraq","Jordan",17842,25979,37955,61156,537499,176104,215392,219163
"Syrian Arab Republic","Jordan",29096,32266,35436,120637,669685,1218732,1440562,1593643
"Yemen, Rep.","Jordan",2235,2358,2481,4506,17290,30074,35268,38858
"Eritrea","Kuwait",3095,2558,2850,3156,4115,4304,4996,5478
"Ethiopia","Kuwait",2178,1801,2007,2223,2897,3275,3799,4166
"Somalia, Fed. Rep.","Kuwait",2075,1715,1911,2116,2759,2886,3348,3671
"South Sudan","Kuwait",0,0,0,0,0,1572,1823,1999
"Chad","Kuwait",855,707,787,872,1136,1189,1378,1511
"Egypt, Arab Rep.","Kuwait",133572,108538,118556,130001,168295,353426,410273,449863
"Morocco","Kuwait",1567,1295,1443,1598,2084,2546,2955,3240
"Sudan","Kuwait",29002,24434,27765,31227,41145,41469,48137,52783
"Tunisia","Kuwait",945,780,870,964,1257,1625,1886,2068
"Nigeria","Kuwait",1140,942,1050,1163,1516,4045,4694,5147
"Afghanistan","Kuwait",1311,1083,1207,1337,1791,2431,2822,3094
"Bangladesh","Kuwait",124630,111619,134755,177722,257660,319026,370340,406077
"India","Kuwait",368811,337135,414688,493361,674272,967163,1122750,1231094
"Nepal","Kuwait",1392,1150,1282,1419,1851,20658,23979,26292
"Pakistan","Kuwait",127721,114542,138456,164874,225460,284598,330375,362255
"Sri Lanka","Kuwait",35746,24225,20484,20689,25152,33299,38654,42384
"Indonesia","Kuwait",37499,34504,42691,53678,75811,90622,105196,115347
"Philippines","Kuwait",48371,45914,58347,77508,112797,165295,191881,210397
"Thailand","Kuwait",1792,1481,1650,1829,2384,3420,3969,4352
"Bahrain","Kuwait",186,234,360,546,848,1181,1371,1503
"Jordan","Kuwait",20985,18286,21504,24898,33449,45909,53291,58434
"Lebanon","Kuwait",4436,3668,4086,4524,5899,10505,12192,13369
"Qatar","Kuwait",48,61,95,144,224,567,657,720
"Saudi Arabia","Kuwait",374,473,726,1105,1713,1892,2194,2406
"Syrian Arab Republic","Kuwait",10834,8957,9977,11049,14403,19439,22565,24742
"Turkiye","Kuwait",7871,6508,7249,8028,10465,11201,13001,14256
"United Arab Emirates","Kuwait",4697,5936,9112,13847,21476,22465,26077,28593
"Yemen, Rep.","Kuwait",35822,29620,32991,36532,47623,59326,68867,75513
"United Kingdom","Kuwait",9840,7007,6429,6543,8003,8557,9931,10889
"France","Kuwait",349,512,845,1448,2354,4381,5085,5575
"Netherlands","Kuwait",1062,739,656,651,779,893,1035,1135
"United States","Kuwait",2760,2282,2543,2815,3670,4339,5035,5521
"Ethiopia","Lebanon",36585,36585,40495,46077,51659,57241,62822,50432
"Egypt, Arab Rep.","Lebanon",10940,10940,12109,13779,15448,17117,18786,10620
"Sudan","Lebanon",7560,7560,8368,9521,10674,11828,12981,11539
"Bangladesh","Lebanon",22644,22644,25064,28519,31974,35429,38884,30406
"Sri Lanka","Lebanon",9528,9528,10546,12000,13453,14907,16360,0
"Philippines","Lebanon",0,0,0,0,0,0,0,6816
"Iraq","Lebanon",8023,8319,11781,11453,39824,26055,25349,5101
"Syrian Arab Republic","Lebanon",0,0,0,0,198,1105309,887943,784884
"Tanzania","Oman",4813,4921,5032,5558,7340,16700,16135,20860
"Egypt, Arab Rep.","Oman",19605,20046,20497,22643,29899,68029,65728,84977
"Sudan","Oman",5169,5285,5404,5970,7883,17937,17330,22405
"Bangladesh","Oman",170050,173876,177789,196401,259339,590082,570123,737087
"India","Oman",185280,189450,193713,213992,282567,642934,621187,803105
"Nepal","Oman",4186,4281,4377,4835,6385,14527,14036,18147
"Pakistan","Oman",64676,66131,67619,74698,98635,224428,216837,280339
"Sri Lanka","Oman",7062,7221,7384,8156,10770,24506,23677,30611
"Philippines","Oman",14184,14504,14830,16383,21632,49221,47556,61483
"Jordan","Oman",3509,3588,3669,4053,5352,12177,11765,15210
"Eritrea","Qatar",445,590,789,1078,2323,2296,5764,6174
"Ethiopia","Qatar",632,839,1120,977,1786,2064,1663,1781
"Somalia, Fed. Rep.","Qatar",76,157,285,652,1557,1539,1239,1327
"South Sudan","Qatar",423,561,751,1150,2546,2518,2028,2172
"Chad","Qatar",7294,7850,8055,2570,641,634,510,546
"Egypt, Arab Rep.","Qatar",174,231,309,48263,131631,202566,179900,192680
"Morocco","Qatar",904,1201,1606,971,1384,1780,1433,1535
"Sudan","Qatar",2211,2936,3923,9023,21547,23013,22950,24580
"Tunisia","Qatar",193,255,342,421,880,1211,974,1043
"Nigeria","Qatar",216,240,258,905,2271,5042,4063,4351
"Afghanistan","Qatar",267,355,474,617,1312,1946,1567,1679
"Bangladesh","Qatar",25434,36748,52997,75334,163856,198373,256478,274697
"India","Qatar",1905,2531,3381,192498,523305,799493,688077,736955
"Nepal","Qatar",319,424,567,23536,63862,187390,248899,266580
"Pakistan","Qatar",232,309,413,51530,140477,164972,230830,247227
"Sri Lanka","Qatar",648,879,1197,12174,32316,67780,151019,161747
"Indonesia","Qatar",75264,111101,163088,64309,46507,53313,42969,46021
"Philippines","Qatar",26064,37711,54451,54014,104448,183900,166676,178516
"Thailand","Qatar",958,1981,3584,1717,1854,2837,2285,2447
"Bahrain","Qatar",38,77,142,274,638,946,762,816
"Jordan","Qatar",7652,11374,16790,14398,26040,39898,32157,34441
"Kuwait","Qatar",4282,6012,8457,5424,8122,8042,6481,6941
"Lebanon","Qatar",2150,2873,3861,3196,5674,10247,8258,8844
