"origin","destination","total_food_value"
"France","Sweden",629.997
"Germany","Austria",216189.301
"Germany","Belgium",135769.712
"Germany","Bulgaria",22792.536
"Germany","Croatia",184.256
"Germany","Cyprus",12.092
"Germany","Czech Republic",311082.211
"Germany","Denmark",28076.349
"Germany","Estonia",2962.5
"Germany","Finland",1388.751
"Germany","France",318815.192
"Germany","Greece",1027.397
"Germany","Hungary",129830.477
"Germany","Ireland",1221.677
"Germany","Italy",253950.576
"Germany","Latvia",4140.446
"Germany","Lithuania",8064.5
"Germany","Luxembourg",6522.591
"Germany","Malta",4.382
"Germany","Netherlands",583632.489
"Germany","Poland",689755.233
"Germany","Portugal",2896.183
"Germany","Romania",62912.917
"Germany","Slovak Republic",42398.657
"Germany","Slovenia",1194.285
"Germany","Spain",23280.8
"Germany","Sweden",11530.015
"Hungary","Austria",18662.337
"Hungary","Belgium",3991.399
"Hungary","Bulgaria",627.165
"Hungary","Croatia",872.517
"Hungary","Cyprus",10.566
"Hungary","Czech Republic",6247.717
"Hungary","Denmark",677.93
"Hungary","Estonia",124.527
"Hungary","Finland",59.64
"Hungary","France",6029.961
"Hungary","Germany",20531.954
"Hungary","Greece",1304.359
"Hungary","Ireland",79.872
"Hungary","Italy",14672.502
"Hungary","Latvia",86.335
"Hungary","Lithuania",418.223
"Hungary","Luxembourg",14.66
"Hungary","Malta",8
"Hungary","Netherlands",12192.377
"Hungary","Poland",49381.46
"Hungary","Portugal",45.909
"Hungary","Romania",11476.102
"Hungary","Slovak Republic",47661.738
"Hungary","Slovenia",4414.484
"Hungary","Spain",593.419
"Hungary","Sweden",253.6
"Ireland","Belgium",10597.075
"Ireland","Bulgaria",14122.732
"Ireland","Denmark",11025.249
"Ireland","Estonia",3902.069
"Ireland","Finland",2244.007
"Ireland","France",28174.906
"Ireland","Germany",41020.614
"Ireland","Greece",43.583
"Ireland","Hungary",2403.708
"Ireland","Ireland",0
"Ireland","Italy",6613.972
"Ireland","Latvia",5742.444
"Ireland","Lithuania",961.482
"Ireland","Netherlands",166061.386
"Ireland","Poland",25104.352
"Ireland","Romania",6925.997
"Ireland","Slovenia",5.721
"Ireland","Spain",1697.383
"Ireland","Sweden",5047.486
"Italy","Austria",135700.719
"Italy","Belgium",21044.701
"Italy","Bulgaria",141715.477
"Italy","Croatia",70732.79
"Italy","Czech Republic",24652.709
"Italy","Denmark",709.512
"Italy","Estonia",1072.056
"Italy","France",366664.704
"Italy","Germany",127719.599
"Italy","Greece",56665.078
"Italy","Hungary",234827.326
"Italy","Ireland",16.219
"Italy","Latvia",921.501
"Italy","Lithuania",1598.989
"Italy","Luxembourg",4.123
"Italy","Malta",92.814
"Italy","Netherlands",46991.94
"Italy","Poland",28610.672
"Italy","Portugal",310.73
"Italy","Romania",104157.294
"Italy","Slovak Republic",29102.066
"Italy","Slovenia",60590.454
"Italy","Spain",21497.047
"Italy","Sweden",55.324
"Latvia","Austria",178.624
"Latvia","Belgium",173.862
"Latvia","Czech Republic",80.95
"Latvia","Denmark",351.578
"Latvia","Estonia",22342.28
"Latvia","Finland",565.864
"Latvia","France",1411.783
"Latvia","Germany",2294.079
"Latvia","Hungary",274.992
"Latvia","Italy",1034.443
"Latvia","Lithuania",101562.589
"Latvia","Netherlands",1257.952
"Latvia","Poland",15860.683
"Latvia","Romania",14.455
"Latvia","Slovak Republic",2643.133
"Latvia","Spain",422.28
"Latvia","Sweden",96.601
"Lithuania","Austria",122.46
"Lithuania","Belgium",564.269
"Lithuania","Bulgaria",91.928
"Lithuania","Croatia",19.524
"Lithuania","Czech Republic",138.024
"Lithuania","Denmark",1198.912
"Lithuania","Estonia",2071.372
"Lithuania","Finland",994.469
"Lithuania","France",354.674
"Lithuania","Germany",882.793
"Lithuania","Hungary",457.57
"Lithuania","Ireland",60.195
"Lithuania","Italy",1108.614
"Lithuania","Latvia",18441.288
"Lithuania","Luxembourg",28.949
"Lithuania","Netherlands",1353.093
"Lithuania","Poland",54161.432
"Lithuania","Portugal",4.411
"Lithuania","Romania",56.41
"Lithuania","Slovak Republic",524.707
"Lithuania","Spain",174.654
"Lithuania","Sweden",176.605
"Luxembourg","Austria",285.655
"Luxembourg","Belgium",26914.898
"Luxembourg","Bulgaria",95.932
"Luxembourg","Czech Republic",0.505
"Luxembourg","Denmark",0.867
"Luxembourg","France",38620.861
"Luxembourg","Germany",11477.068
"Luxembourg","Hungary",307.509
"Luxembourg","Ireland",0.73
"Luxembourg","Italy",458.646
"Luxembourg","Lithuania",19.616
"Luxembourg","Luxembourg",0
"Luxembourg","Netherlands",7246.724
"Luxembourg","Poland",342.616
"Luxembourg","Portugal",1925.367
"Luxembourg","Spain",326.937
"Luxembourg","Sweden",3.582
"Malta","Austria",1.306
"Malta","Belgium",1984.643
"Malta","Bulgaria",45.107
"Malta","Czech Republic",75.933
"Malta","Denmark",202.495
"Malta","France",1854.714
"Malta","Germany",115.344
"Malta","Greece",3.648
"Malta","Hungary",35.93
"Malta","Ireland",522.811
"Malta","Italy",6118.478
"Malta","Latvia",1597.63
"Malta","Lithuania",74.119
"Malta","Netherlands",4653.159
"Malta","Poland",2194.705
"Malta","Portugal",9.273
"Malta","Romania",1993.896
"Malta","Slovak Republic",71.863
"Malta","Slovenia",948.228
"Malta","Spain",577.455
"Netherlands","Austria",2655.79
